"model","n.trees","interaction.depth","shrinkage","cv.folds","min_training_time","rmse_training","rmse_prediction","mae_prediction","mae_pred_mean"
"gbm","150","3","0.1","10","1.97274933258692","365.377381271129","365.071667053408","249.211349800396","0.141712136442284"
"gbm","300","3","0.1","10","3.46760696570079","344.319794727847","340.62081695517","233.359016329971","0.13269782772204"
"gbm","600","3","0.1","10","6.51517638365428","330.511204483749","326.85479530516","224.61902468588","0.12772789802436"
"gbm","600","6","0.1","10","12.0953191836675","319.823060246172","313.098019469789","216.013251211601","0.122834290466939"
"gbm","600","9","0.1","10","17.665994699796","315.933712977015","309.408914358968","213.060135145366","0.121155023502399"
"gbm","600","18","0.1","10","33.4100734829903","312.150464531116","304.075020890087","209.545347658433","0.11915636636133"
"gbm","600","6","0.01","10","13.373165567716","376.182511397863","375.750717940489","258.784046231222","0.147155577376304"
"gbm","600","6","1","10","11.9596881826719","348.817300960212","399.693137172871","256.552387624952","0.145886561702829"
"gbm","600","6","0.05","10","12.2428076982498","328.068556224915","323.400344958199","222.246315328522","0.126378674915312"
"gbm","600","6","0.1","5","7.25038313468297","321.408884619267","313.668140491164","216.455091738837","0.123085539718354"
"gbm","600","6","0.1","2","5.49727240006129","322.952466545492","314.963379995861","217.052459460184","0.123425228324437"
"gbm","600","6","0.1","4","6.62456711530685","322.026932953444","314.009663500802","216.461420973827","0.123089138789637"
